group,source_file,line_number,subcommand,options_all,num_options,options_valid,num_valid
human,human_pytorch__pytorch__apply-lint.yml,55,config,"--global",1,"--global",1
human,human_pytorch__pytorch__apply-lint.yml,56,config,"--global",1,"--global",1
human,human_pytorch__pytorch__apply-lint.yml,58,config,"--global",1,"--global",1
human,human_pytorch__pytorch__apply-lint.yml,59,config,"--global",1,"--global",1
human,human_pytorch__pytorch__apply-lint.yml,77,diff,"--quiet",1,"--quiet",1
human,human_pytorch__pytorch__apply-lint.yml,82,add,"-u",1,"-u",1
human,human_pytorch__pytorch__apply-lint.yml,84,commit,"--amend --no-edit",2,"--amend --no-edit",2
human,human_pytorch__pytorch__apply-lint.yml,86,commit,"-m",1,"-m",1
human,human_pytorch__pytorch___binary-build-flash-attention-wheel-windows.yml,69,config,"--global",1,"--global",1
human,human_pytorch__pytorch___binary-build-flash-attention-wheel-windows.yml,70,config,"--global",1,"--global",1
human,human_pytorch__pytorch___binary-build-flash-attention-wheel-windows.yml,71,config,"--global",1,"--global",1
human,human_pytorch__pytorch___binary-build-flash-attention-wheel-windows.yml,72,config,"--global",1,"--global",1
human,human_pytorch__pytorch___binary-build-linux.yml,108,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch___binary-test-linux.yml,116,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch___binary-test-rocm-linux.yml,81,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch___binary-test-xpu-linux.yml,77,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__build-triton-wheel.yml,216,config,"--global",1,"--global",1
human,human_pytorch__pytorch__build-triton-wheel.yml,217,config,"--global",1,"--global",1
human,human_pytorch__pytorch__build-triton-wheel.yml,221,config,"--global",1,"--global",1
human,human_pytorch__pytorch__check_mergeability_ghstack.yml,20,config,"--global",1,"--global",1
human,human_pytorch__pytorch__check_mergeability_ghstack.yml,21,config,"--global",1,"--global",1
human,human_pytorch__pytorch__check_mergeability_ghstack.yml,37,fetch,"--prune",1,"--prune",1
human,human_pytorch__pytorch__cherry-pick.yml,33,config,"--global",1,"--global",1
human,human_pytorch__pytorch__cherry-pick.yml,34,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-linux-aarch64-binary-manywheel-nightly.yml,71,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-aarch64-binary-manywheel-nightly.yml,147,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-aarch64-binary-manywheel-nightly.yml,223,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-aarch64-binary-manywheel-nightly.yml,299,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-binary-manywheel-nightly.yml,72,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-binary-manywheel-nightly.yml,148,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-binary-manywheel-nightly.yml,224,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-linux-binary-manywheel-nightly.yml,300,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__generated-windows-arm64-binary-libtorch-debug-nightly.yml,95,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__generated-windows-arm64-binary-libtorch-debug-nightly.yml,96,config,"--system",1,"--system",1
human,human_pytorch__pytorch__generated-windows-arm64-binary-libtorch-debug-nightly.yml,175,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__generated-windows-arm64-binary-libtorch-debug-nightly.yml,176,config,"--system",1,"--system",1
human,human_pytorch__pytorch__generated-windows-arm64-binary-wheel-nightly.yml,104,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__generated-windows-arm64-binary-wheel-nightly.yml,105,config,"--system",1,"--system",1
human,human_pytorch__pytorch__generated-windows-arm64-binary-wheel-nightly.yml,192,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__generated-windows-arm64-binary-wheel-nightly.yml,193,config,"--system",1,"--system",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,130,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,131,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,136,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,265,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,266,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-libtorch-debug-nightly.yml,271,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,277,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,278,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,283,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,558,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,559,config,"--global",1,"--global",1
human,human_pytorch__pytorch__generated-windows-binary-wheel-nightly.yml,564,config,"--global",1,"--global",1
human,human_pytorch__pytorch___lint.yml,29,config,"--global --add",2,"--global --add",2
human,human_pytorch__pytorch__lint.yml,355,diff,"--quiet",1,"--quiet",1
human,human_pytorch__pytorch__lint.yml,365,commit,"--amend --no-edit",2,"--amend --no-edit",2
human,human_pytorch__pytorch__nightly.yml,105,diff,"--quiet",1,"--quiet",1
human,human_pytorch__pytorch__nightly.yml,117,checkout,"-b",1,"-b",1
human,human_pytorch__pytorch__nightly.yml,119,commit,"-m",1,"-m",1
human,human_pytorch__pytorch__nightly.yml,120,push,"--set-upstream",1,"",0
human,human_pytorch__pytorch__revert.yml,33,config,"--global",1,"--global",1
human,human_pytorch__pytorch__revert.yml,34,config,"--global",1,"--global",1
human,human_pytorch__pytorch__trunk-tagging.yml,109,tag,"-l",1,"-l",1
human,human_pytorch__pytorch__trunk-tagging.yml,194,tag,"-d",1,"-d",1
human,human_pytorch__pytorch__trymerge.yml,35,config,"--global",1,"--global",1
human,human_pytorch__pytorch__trymerge.yml,36,config,"--global",1,"--global",1
human,human_pytorch__pytorch__trymerge.yml,58,fetch,"-p",1,"-p",1
human,human_pytorch__pytorch__tryrebase.yml,32,config,"--global",1,"--global",1
human,human_pytorch__pytorch__tryrebase.yml,33,config,"--global",1,"--global",1
human,human_pytorch__pytorch__weekly.yml,61,config,"--global",1,"--global",1
human,human_pytorch__pytorch__weekly.yml,62,config,"--global",1,"--global",1
human,human_pytorch__pytorch__win-arm64-build-test.yml,43,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__win-arm64-build-test.yml,44,config,"--system",1,"--system",1
human,human_pytorch__pytorch__win-arm64-build-test.yml,134,config,"--system --get",2,"--system --get",2
human,human_pytorch__pytorch__win-arm64-build-test.yml,135,config,"--system",1,"--system",1
human,human_pytorch__pytorch___win-build.yml,82,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-build.yml,83,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-build.yml,84,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-build.yml,89,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-test.yml,71,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-test.yml,72,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-test.yml,73,config,"--global",1,"--global",1
human,human_pytorch__pytorch___win-test.yml,78,config,"--global",1,"--global",1
human,human_remix-run__remix__check-main.yaml,39,diff,"--name-only",1,"--name-only",1
human,human_remix-run__remix__check-pr.yaml,199,fetch,"--no-tags",1,"",0
human,human_remix-run__remix__check-pr.yaml,678,fetch,"--no-tags",1,"",0
human,human_remix-run__remix__check-pr.yaml,794,diff,"--stat",1,"--stat",1
human,human_remix-run__remix__check-pr.yaml,795,diff,"--unified",1,"",0
human,human_remix-run__remix__check-pr.yaml,796,log,"--oneline",1,"--oneline",1
human,human_remix-run__remix__codex-pr-review.yaml,206,fetch,"--no-tags",1,"",0
human,human_remix-run__remix__codex-pr-review.yaml,392,diff,"--stat",1,"--stat",1
human,human_remix-run__remix__codex-pr-review.yaml,393,diff,"--unified",1,"",0
human,human_remix-run__remix__codex-pr-review.yaml,394,log,"--oneline",1,"--oneline",1
human,human_remix-run__remix__format.yml,32,diff,"--name-only",1,"--name-only",1
human,human_remix-run__remix__format.yml,78,config,"--local",1,"--local",1
human,human_remix-run__remix__format.yml,79,config,"--local",1,"--local",1
human,human_remix-run__remix__format.yml,83,status,"--porcelain)"",1,"",0
human,human_remix-run__remix__format.yml,87,commit,"-m",1,"-m",1
human,human_remix-run__remix__generate-remix.yaml,77,status,"--porcelain)"",1,"",0
human,human_remix-run__remix__generate-remix.yaml,83,status,"--porcelain",1,"--porcelain",1
human,human_remix-run__remix__generate-remix.yaml,93,config,"--local",1,"--local",1
human,human_remix-run__remix__generate-remix.yaml,94,config,"--local",1,"--local",1
human,human_remix-run__remix__generate-remix.yaml,96,commit,"-a -m",2,"-a -m",2
human,human_remix-run__remix__preview.yml,72,config,"--local",1,"--local",1
human,human_remix-run__remix__preview.yml,73,config,"--local",1,"--local",1
human,human_remix-run__remix__preview.yml,80,push,"--force --set-upstream",2,"",0
human,human_remix-run__remix__preview.yml,90,push,"--force --set-upstream",2,"",0
human,human_remix-run__remix__preview.yml,100,push,"--set-upstream",1,"",0
human,human_remix-run__remix__publish.yaml,91,tag,"--points-at",1,"--points-at",1
human,human_saltstack__salt__ci.yml,363,diff,"--color",1,"--color",1
human,human_saltstack__salt__ci.yml,369,config,"--global",1,"--global",1
human,human_saltstack__salt__ci.yml,370,config,"--global",1,"--global",1
human,human_saltstack__salt__depcheck.yml,352,diff,"--color",1,"--color",1
human,human_saltstack__salt__depcheck.yml,358,config,"--global",1,"--global",1
human,human_saltstack__salt__depcheck.yml,359,config,"--global",1,"--global",1
human,human_saltstack__salt__dependabot-sync.yml,49,status,"--porcelain",1,"--porcelain",1
human,human_saltstack__salt__dependabot-sync.yml,51,config,"--global",1,"--global",1
human,human_saltstack__salt__dependabot-sync.yml,52,config,"--global",1,"--global",1
human,human_saltstack__salt__dependabot-sync.yml,54,commit,"-m",1,"-m",1
human,human_saltstack__salt__lint-action.yml,35,config,"--global --add",2,"--global --add",2
human,human_saltstack__salt__lint-action.yml,75,config,"--global --add",2,"--global --add",2
human,human_saltstack__salt__nightly.yml,357,diff,"--color",1,"--color",1
human,human_saltstack__salt__nightly.yml,363,config,"--global",1,"--global",1
human,human_saltstack__salt__nightly.yml,364,config,"--global",1,"--global",1
human,human_saltstack__salt__pre-commit-action.yml,50,config,"--global --add",2,"--global --add",2
human,human_saltstack__salt__release.yml,146,config,"--global --add",2,"--global --add",2
human,human_saltstack__salt__release.yml,147,config,"--global",1,"--global",1
human,human_saltstack__salt__release.yml,148,config,"--global",1,"--global",1
human,human_saltstack__salt__release.yml,149,config,"--global",1,"--global",1
human,human_saltstack__salt__release.yml,150,config,"--global",1,"--global",1
human,human_saltstack__salt__release.yml,187,tag,"-m",1,"-m",1
human,human_saltstack__salt__scheduled.yml,411,diff,"--color",1,"--color",1
human,human_saltstack__salt__scheduled.yml,417,config,"--global",1,"--global",1
human,human_saltstack__salt__scheduled.yml,418,config,"--global",1,"--global",1
human,human_saltstack__salt__staging.yml,385,diff,"--color",1,"--color",1
human,human_saltstack__salt__staging.yml,391,config,"--global",1,"--global",1
human,human_saltstack__salt__staging.yml,392,config,"--global",1,"--global",1
human,human_scikit-learn__scikit-learn__check-changelog.yml,24,diff,"--name-only",1,"--name-only",1
human,human_scikit-learn__scikit-learn__emscripten.yml,50,log,"--no-merges --oneline)",2,"--no-merges",1
human,human_scikit-learn__scikit-learn__unit-tests.yml,66,log,"--format -n",2,"--format",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,295,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,296,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,297,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,719,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,720,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,721,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,1210,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,1211,config,"--global",1,"--global",1
human,human_storybookjs__storybook__code-simplifier.lock.yml,1212,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,288,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,289,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,290,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,717,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,718,config,"--global",1,"--global",1
human,human_storybookjs__storybook__duplicate-code-detector.lock.yml,719,config,"--global",1,"--global",1
human,human_storybookjs__storybook__generate-sandboxes.yml,80,config,"--global",1,"--global",1
human,human_storybookjs__storybook__generate-sandboxes.yml,81,config,"--global",1,"--global",1
human,human_storybookjs__storybook__handle-release-branches.yml,64,branch,"-r",1,"-r",1
human,human_storybookjs__storybook__handle-release-branches.yml,67,push,"-f",1,"-f",1
human,human_storybookjs__storybook__prepare-non-patch-release.yml,76,fetch,"--tags",1,"",0
human,human_storybookjs__storybook__prepare-non-patch-release.yml,108,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-non-patch-release.yml,109,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-non-patch-release.yml,110,checkout,"-b",1,"-b",1
human,human_storybookjs__storybook__prepare-non-patch-release.yml,112,commit,"--allow-empty --no-verify -m",3,"--allow-empty -m",2
human,human_storybookjs__storybook__prepare-non-patch-release.yml,113,push,"--force",1,"",0
human,human_storybookjs__storybook__prepare-patch-release.yml,63,fetch,"--depth",1,"--depth",1
human,human_storybookjs__storybook__prepare-patch-release.yml,70,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-patch-release.yml,71,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-patch-release.yml,112,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-patch-release.yml,113,config,"--global",1,"--global",1
human,human_storybookjs__storybook__prepare-patch-release.yml,114,checkout,"-b",1,"-b",1
human,human_storybookjs__storybook__prepare-patch-release.yml,116,commit,"--allow-empty --no-verify -m",3,"--allow-empty -m",2
human,human_storybookjs__storybook__prepare-patch-release.yml,117,push,"--force",1,"",0
human,human_storybookjs__storybook__publish.yml,83,config,"--global",1,"--global",1
human,human_storybookjs__storybook__publish.yml,84,config,"--global",1,"--global",1
human,human_storybookjs__storybook__publish.yml,86,commit,"-m",1,"-m",1
human,human_storybookjs__storybook__publish.yml,126,fetch,"--tags",1,"",0
human,human_storybookjs__storybook__publish.yml,158,config,"--global",1,"--global",1
human,human_storybookjs__storybook__publish.yml,159,config,"--global",1,"--global",1
human,human_storybookjs__storybook__publish.yml,184,commit,"-m",1,"-m",1
human,human_sveltejs__svelte__autofix.yml,67,add,"-A",1,"-A",1
human,human_sveltejs__svelte__autofix.yml,68,diff,"--staged --quiet",2,"--quiet",1
human,human_sveltejs__svelte__autofix.yml,68,commit,"-m",1,"-m",1
human,human_sveltejs__svelte__ci.yml,100,status,"--porcelain",1,"--porcelain",1
human,human_sveltejs__svelte__release.yml,41,status,"--porcelain",1,"--porcelain",1
human,human_sympy__sympy__release.yml,286,config,"--global",1,"--global",1
human,human_sympy__sympy__release.yml,287,config,"--global",1,"--global",1
human,human_tj_git-extras_tests_test_util.sh,21,init,"--initial-branch",1,"",0
human,human_traefik__traefik__test-gateway-api-conformance.yaml,42,diff,"--exit-code",1,"--exit-code",1
human,human_traefik__traefik__validate.yaml,76,diff,"--exit-code",1,"--exit-code",1
human,human_traefik__traefik__validate.yaml,81,diff,"--exit-code",1,"--exit-code",1
human,human_vercel__next.js__build_and_deploy.yml,235,config,"--system",1,"--system",1
human,human_vercel__next.js__build_reusable.yml,165,config,"--global",1,"--global",1
human,human_vercel__next.js__build_reusable.yml,166,config,"--global",1,"--global",1
human,human_vercel__next.js__build_reusable.yml,262,config,"--global",1,"--global",1
human,human_vercel__next.js__build_reusable.yml,263,config,"--global",1,"--global",1
human,human_vercel__next.js__test-turbopack-rust-bench-test.yml,29,config,"--global",1,"--global",1
human,human_vercel__next.js__test-turbopack-rust-bench-test.yml,30,config,"--global",1,"--global",1
human,human_vercel__next.js__trigger_release.yml,86,fetch,"--tags --force --deepen",3,"--force --deepen",2
human,human_vitejs__vite__ci.yml,177,diff,"--exit-code",1,"--exit-code",1
human,human_yarnpkg__berry__e2e-husky-workflow.yml,38,commit,"-m",1,"-m",1
human,human_yarnpkg__berry__e2e-husky-workflow.yml,40,commit,"-m",1,"-m",1
human,human_yarnpkg__berry__e2e-nm-angular-workflow.yml,37,config,"--global",1,"--global",1
human,human_yarnpkg__berry__e2e-nm-babel-workflow.yml,37,config,"--global",1,"--global",1
human,human_yarnpkg__berry__integration-workflow.yml,28,fetch,"--no-tags --unshallow",2,"--unshallow",1
human,human_yarnpkg__berry__integration-workflow.yml,42,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,53,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,60,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,70,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,72,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,82,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,84,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,94,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,96,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,106,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,108,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,118,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,120,diff,"--name-only",1,"--name-only",1
human,human_yarnpkg__berry__integration-workflow.yml,166,diff,"--exit-code",1,"--exit-code",1
human,human_yarnpkg__berry__pr-smart-merge.yml,44,merge,"--no-commit",1,"",0
human,human_yarnpkg__berry__pr-smart-merge.yml,47,diff,"--name-only --diff-filter",2,"--name-only --diff-filter",2
human,human_yarnpkg__berry__pr-smart-merge.yml,52,diff,"--name-only --diff-filter",2,"--name-only --diff-filter",2
human,human_yarnpkg__berry__pr-smart-merge.yml,53,checkout,"--theirs",1,"",0
human,human_yarnpkg__berry__pr-smart-merge.yml,58,diff,"--name-only --diff-filter",2,"--name-only --diff-filter",2
human,human_yarnpkg__berry__pr-smart-merge.yml,59,checkout,"--theirs",1,"",0
human,human_yarnpkg__berry__pr-smart-merge.yml,68,diff,"--name-only --diff-filter",2,"--name-only --diff-filter",2
human,human_yarnpkg__berry__pr-smart-merge.yml,69,checkout,"--theirs",1,"",0
human,human_yarnpkg__berry__pr-smart-merge.yml,120,merge,"--no-commit",1,"",0
human,human_yarnpkg__berry__pr-smart-merge.yml,121,add,"-A",1,"-A",1
human,human_yarnpkg__berry__pr-smart-merge.yml,124,commit,"--allow-empty -m",2,"--allow-empty -m",2
human,human_yarnpkg__berry__release-branch.yml,32,fetch,"--depth",1,"--depth",1
human,human_yarnpkg__berry__release-branch.yml,60,push,"--follow-tags",1,"--follow-tags",1
human,human_yarnpkg__berry__release-branch.yml,86,reset,"--soft",1,"--soft",1
human,human_yarnpkg__berry__release-branch.yml,89,commit,"-m",1,"-m",1
human,human_yarnpkg__berry__release-candidate.yml,32,fetch,"--depth",1,"--depth",1
human,human_yarnpkg__berry__release-candidate.yml,57,push,"--follow-tags",1,"--follow-tags",1
human,human_yarnpkg__berry__release-rerun.yml,32,fetch,"--depth",1,"--depth",1
llm,llm_23blocks-OS_ai-maestro_install.sh,939,clone,"--depth",1,"--depth",1
llm,llm_567-labs__instructor__scheduled-release.yml,108,log,"--oneline",1,"--oneline",1
llm,llm_567-labs__instructor__scheduled-release.yml,110,log,"--oneline",1,"--oneline",1
llm,llm_567-labs__instructor__scheduled-release.yml,179,log,"--oneline",1,"--oneline",1
llm,llm_567-labs__instructor__scheduled-release.yml,181,log,"--oneline",1,"--oneline",1
llm,llm_567-labs__instructor__scheduled-release.yml,202,config,"--local",1,"--local",1
llm,llm_567-labs__instructor__scheduled-release.yml,203,config,"--local",1,"--local",1
llm,llm_567-labs__instructor__scheduled-release.yml,205,commit,"-m",1,"-m",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,491,add,"-A",1,"-A",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,492,diff,"--staged --quiet",2,"--quiet",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,492,commit,"-m",1,"-m",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,495,pull,"--rebase",1,"",0
llm,llm_aaddrick__claude-desktop-debian__ci.yml,718,add,"-A",1,"-A",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,719,diff,"--staged --quiet",2,"--quiet",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,719,commit,"-m",1,"-m",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,722,pull,"--rebase",1,"",0
llm,llm_aaddrick__claude-desktop-debian__ci.yml,905,diff,"--staged --quiet",2,"--quiet",1
llm,llm_aaddrick__claude-desktop-debian__ci.yml,909,commit,"-m",1,"-m",1
llm,llm_aaif-goose__goose__goose-pr-reviewer.yml,296,config,"--global --add",2,"--global --add",2
llm,llm_aaif-goose__goose__goose-release-notes.yml,132,config,"--global --add",2,"--global --add",2
llm,llm_abpframework__abp__update-studio-docs.yml,164,checkout,"-B",1,"-B",1
llm,llm_abpframework__abp__update-studio-docs.yml,572,diff,"--cached --quiet",2,"--cached --quiet",2
llm,llm_abpframework__abp__update-studio-docs.yml,578,diff,"--cached --stat",2,"--cached --stat",2
llm,llm_abpframework__abp__update-studio-docs.yml,590,commit,"-m",1,"-m",1
llm,llm_abpframework__abp__update-studio-docs.yml,597,push,"-f",1,"-f",1
llm,llm_Additivemenu__nextjs-react-lib-all-in-one__chatgpt-code-review.yml,119,diff,"--name-status --diff-filter",2,"--name-status --diff-filter",2
llm,llm_Additivemenu__nextjs-react-lib-all-in-one__chatgpt-code-review.yml,122,diff,"--name-only --diff-filter",2,"--name-only --diff-filter",2
llm,llm_Additivemenu__nextjs-react-lib-all-in-one__chatgpt-code-review.yml,145,diff,"--name-status --diff-filter",2,"--name-status --diff-filter",2
llm,llm_Additivemenu__nextjs-react-lib-all-in-one__chatgpt-code-review.yml,186,diff,"--name-status --diff-filter",2,"--name-status --diff-filter",2
llm,llm_addyosmani__agent-skills__test-plugin-install.yml,47,config,"--global",1,"--global",1
llm,llm_Agent-Field__agentfield__ai-label.yml,30,log,"--format",1,"--format",1
llm,llm_AgentsMesh__AgentsMesh__deploy.yml,194,pull,"--rebase --autostash",2,"--autostash",1
llm,llm_AgentsMesh__AgentsMesh__deploy.yml,245,pull,"--rebase --autostash",2,"--autostash",1
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,63,fetch,"--tags`",1,"",0
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,74,fetch,"--tags --force --prune",3,"--force --prune",2
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,82,tag,"-l",1,"-l",1
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,124,fetch,"--tags --force --prune",3,"--force --prune",2
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,129,tag,"-l",1,"-l",1
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,167,push,"--tags`).",1,"",0
llm,llm_AgentsMesh__AgentsMesh__nightly.yml,331,push,"--tags`.",1,"",0
llm,llm_ai4curation__odk-ai__ai-runner.yml,105,config,"--global",1,"--global",1
llm,llm_ai4curation__odk-ai__ai-runner.yml,106,config,"--global",1,"--global",1
llm,llm_AIFlowML_cursor_rules_cursor.sh,34,clone,"--quiet",1,"",0
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,103,commit,"--no-verify -m",2,"-m",1
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,113,push,"--no-verify",1,"",0
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,116,tag,"-a",1,"-a",1
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,144,commit,"--no-verify -m",2,"-m",1
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,146,push,"--no-verify",1,"",0
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,158,push,"--no-verify",1,"",0
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,184,clone,"--depth",1,"--depth",1
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,215,checkout,"-b",1,"-b",1
llm,llm_aiKrice_homebrew-badgetizr_publish.sh,217,commit,"-m",1,"-m",1
llm,llm_alire-alavi_LaChat_install.sh,51,clone,"--branch",1,"",0
llm,llm_alpibrusl_caloron-noether_record.sh,84,init,"-q",1,"-q",1
llm,llm_alpibrusl_caloron-noether_record.sh,86,add,"-A",1,"-A",1
llm,llm_alpibrusl_caloron-noether_record.sh,175,init,"-q",1,"-q",1
llm,llm_AnatoliiShara_mlops_dvc_and_git_synthetic.sh,15,commit,"-m",1,"-m",1
llm,llm_apolloconfig__apollo__issue-triage.lock.yml,103,config,"--global",1,"--global",1
llm,llm_apolloconfig__apollo__issue-triage.lock.yml,104,config,"--global",1,"--global",1
llm,llm_apolloconfig__apollo__issue-triage.lock.yml,622,config,"--global",1,"--global",1
llm,llm_apolloconfig__apollo__issue-triage.lock.yml,623,config,"--global",1,"--global",1
llm,llm_appsmithorg__appsmith-docs__integration-doc-generator.yml,37,log,"--pretty --name-only -n",3,"--pretty --name-only",2
llm,llm_appsmithorg__appsmith-docs__widget-doc-generator.yml,42,log,"-n",1,"",0
llm,llm_Arize-ai__phoenix__cost-sync.yml,36,diff,"--exit-code",1,"--exit-code",1
llm,llm_asreview__asreview-artwork__readme_workflow.yml,43,config,"--local",1,"--local",1
llm,llm_asreview__asreview-artwork__readme_workflow.yml,44,config,"--local",1,"--local",1
llm,llm_asreview__asreview-artwork__readme_workflow.yml,46,commit,"-m",1,"-m",1
llm,llm_avi8or_iced-rust_pre_commit_quality.sh,7,diff,"--cached --name-only --diff-filter",3,"--cached --name-only --diff-filter",3
llm,llm_avi8or_iced-rust_pre_commit_quality.sh,9,diff,"--cached --name-only --diff-filter",3,"--cached --name-only --diff-filter",3
llm,llm_awslabs__aidlc-workflows__codebuild.yml,179,config,"--global --add",2,"--global --add",2
llm,llm_awslabs__aidlc-workflows__release-pr.yml,118,config,"--local",1,"--local",1
llm,llm_awslabs__aidlc-workflows__release-pr.yml,119,config,"--local",1,"--local",1
llm,llm_awslabs__aidlc-workflows__release-pr.yml,123,diff,"--cached --quiet",2,"--cached --quiet",2
llm,llm_awslabs__aidlc-workflows__release-pr.yml,128,checkout,"-b",1,"-b",1
llm,llm_awslabs__aidlc-workflows__release-pr.yml,129,commit,"-m",1,"-m",1
llm,llm_awslabs__aidlc-workflows__tag-on-merge.yml,52,config,"--local",1,"--local",1
